family,code_word,size,cond_strand,core_strand,cond_wire_dia,core_wire_dia,core_od,metal_od,strand_lay,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec,values_from
ACSR,Skimmer,795.0,30,7,0.1628,0.1628,0.4884,1.14,,25,0.1155,75,0.1379,750.7,493.3,ASTM B 232,Southwire
ACSR,Mallard,795.0,30,19,0.1628,0.0977,0.4885,1.14,,25,0.116,75,0.138,750.7,483.2,ASTM B 232,Ratekit
ACSR,Coot,795.0,36,1,0.1486,0.1486,0.1486,1.04,,25,0.1190,75,0.1417,745.1,58.5,ASTM B 232,Southwire
ACSR,Tern,795.0,45,7,0.1329,0.0886,0.2658,1.063,,25,0.1185,75,0.1421,748.6,146.1,ASTM B 232,Southwire
ACSR,Condor,795.0,54,7,0.1213,0.1213,0.3639,1.092,,25,0.117,75,0.14,748.4,273.9,ASTM B 232,Ratekit
ACSR,Ruddy,900.0,45,7,0.1414,0.0943,0.2829,1.131,,25,0.1051,75,0.1259,847.4,165.5,ASTM B 232,Southwire
ACSR,Canary,900.0,54,7,0.1291,0.1291,0.3873,1.162,,25,0.1039,75,0.1269,847.7,310.2,ASTM B 232,Southwire
ACSR,Corncrake,954.0,20,7,0.2184,0.0971,0.291,1.165,,25,0.0994,75,0.1183,898.5,175.5,ASTM B 232,Southwire
ACSR,Redbird,954.0,24,7,0.1994,0.1329,0.399,1.196,,25,0.0982,75,0.1170,898.8,328.7,ASTM B 232,Southwire
ACSR,Merganser,954.0,30,7,0.1783,0.1783,0.5349,1.2481,,25,0.0967,75,0.1152,900.5,591.7,ASTM B 232,Southwire
ACSR,Rail,954.0,45,7,0.1456,0.0971,0.2913,1.165,,25,0.0994,75,0.1189,898.5,175.5,ASTM B 232,Southwire
ACSR,Cardinal,954.0,54,7,0.1329,0.1329,0.3987,1.196,,25,0.0982,75,0.1199,898.3,328.7,ASTM B 232,Southwire
ACSR,Snowbird,1033.5,42,7,0.1569,0.0872,0.2616,1.203,,25,0.0925,75,0.1105,973.9,141.5,ASTM B 232,Southwire
ACSR,Ortolan,1033.5,45,7,0.1515,0.101,0.303,1.212,,25,0.0922,75,0.11,972.8,189.9,ASTM B 232,Ratekit
ACSR,Curlew,1033.5,54,7,0.1383,0.1383,0.4149,1.245,,25,0.091,75,0.108,972.8,356,ASTM B 232,Ratekit
ACSR,Bluejay,1113.0,45,7,0.1573,0.1049,0.3147,1.259,,25,0.0859,75,0.102,1048.7,204.8,ASTM B 232,Ratekit
ACSR,Finch,1113.0,54,19,0.1436,0.0862,0.431,1.293,,25,0.0851,75,0.101,1053.9,376.1,ASTM B 232,Ratekit
ACSR,Bunting,1192.5,45,7,0.1628,0.1085,0.3255,1.302,,25,0.0805,75,0.0959,1123.4,219.1,ASTM B 232,Southwire
ACSR,Grackle,1192.5,54,19,0.1486,0.0892,0.446,1.338,,25,0.0798,75,0.0970,1128.6,402.8,ASTM B 232,Southwire
ACSR,Bittern,1272.0,45,7,0.1681,0.1121,0.3363,1.345,,25,0.0759,75,0.0898,1197.7,233.9,ASTM B 232,Ratekit
ACSR,Pheasant,1272.0,54,19,0.1535,0.0921,0.4605,1.382,,25,0.0751,75,0.089,1204.3,429.4,ASTM B 232,Ratekit
ACSR,Dipper,1351.5,45,7,0.1733,0.1155,0.3465,1.386,,25,0.0718,75,0.0852,1272.9,248.3,ASTM B 232,Southwire
ACSR,Martin,1351.5,54,19,0.1582,0.0949,0.4745,1.424,,25,0.0710,75,0.0860,1279.1,455.9,ASTM B 232,Southwire
ACSR,Bobolink,1431.0,45,7,0.1783,0.1189,0.3567,1.427,,25,0.0681,75,0.0808,1347.5,263.1,ASTM B 232,Southwire
ACSR,Plover,1431.0,54,19,0.1628,0.0977,0.4885,1.465,,25,0.0673,75,0.0814,1354.6,483.2,ASTM B 232,Southwire
ACSR,Nuthatch,1510.5,45,7,0.1832,0.1221,0.3663,1.466,,25,0.0649,75,0.0768,1422.5,277.5,ASTM B 232,Southwire
ACSR,Parrot,1510.5,54,19,0.1672,0.1003,0.5015,1.505,,25,0.0641,75,0.0774,1428.8,509.2,ASTM B 232,Southwire
ACSR,Lapwing,1590.0,45,7,0.188,0.1253,0.3759,1.504,,25,0.062,75,0.0729,1498.1,292.2,ASTM B 232,Ratekit
ACSR,Falcon,1590.0,54,19,0.1716,0.103,0.515,1.545,,25,0.0611,75,0.0721,1505,537,ASTM B 232,Ratekit
ACSR,Chukar,1780.0,84,19,0.1456,0.0874,0.437,1.602,,25,0.0561,75,0.0658,1685.4,386.7,ASTM B 232,Ratekit
ACSR,Bluebird,2156.0,84,19,0.1602,0.0961,0.4805,1.762,,25,0.0477,75,0.0555,2040.4,467.5,ASTM B 232,Ratekit
ACSR,Kiwi,2167.0,72,7,0.1735,0.1157,0.3471,1.735,,25,0.0484,75,0.0562,2051.4,249.2,ASTM B 232,Ratekit
ACSR,Thrasher,2312.0,76,19,0.1744,0.0814,0.407,1.802,,25,0.0454,75,0.0528,2187.9,335.4,ASTM B 232,Ratekit
ACSR,Joree,2515.0,76,19,0.1819,0.0849,0.4245,1.88,,25,0.0428,75,0.0493,2380.1,364.9,ASTM B 232,Southwire
