family,code_word,size,cond_strand,core_strand,core_wire_dia,core_od,metal_od,tw_type,tw_layers,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec,values_from
ACSSTW,St. Croix,1467.8,33,7,0.1041,0.3123,1.292,5,3,25,0.0650,75,0.0789,1381,202,ASTM B 857,Southwire
ACSSTW,Rio Grande,1533.3,39,19,0.1012,0.506,1.382,13,3,25,0.0612,75,0.0744,1448,519,ASTM B 857,Southwire
ACSSTW,Potomac,1557.4,36,7,0.1241,0.3723,1.345,7,3,25,0.0613,75,0.0743,1467,287,ASTM B 857,Southwire
ACSSTW,Platte,1569,33,7,0.1074,0.3222,1.334,5,3,25,0.0613,75,0.0742,1476,215,ASTM B 857,Southwire
ACSSTW,Lapwing,1590,36,7,0.1253,0.3759,1.358,7,3,25,0.05966,75,0.07022,1498,292,ASTM B 857,Alcan
ACSSTW,Falcon,1590,42,19,0.103,0.515,1.408,13,3,25,0.05914,75,0.07022,1501,537,ASTM B 857,Alcan
ACSSTW,Pecos,1622,39,19,0.1064,0.532,1.424,13,3,25,0.058,75,0.0688,1532,574,ASTM B 857,Southwire
ACSSTW,Schuylkill,1657.4,36,7,0.128,0.384,1.386,7,3,25,0.0581,75,0.0702,1561,305,ASTM B 857,Southwire
ACSSTW,James,1730.6,39,19,0.1075,0.5375,1.470,13,3,25,0.0549,75,0.0664,1634,585,ASTM B 857,Southwire
ACSSTW,Pee Dee,1758.6,37,7,0.1319,0.3957,1.427,7,3,25,0.0551,75,0.0665,1656,324,ASTM B 857,Southwire
ACSSTW,Chukar,1780,37,19,0.0874,0.437,1.445,8,3,25,0.05438,75,0.05396,1675,386.7,ASTM B 857,Alcan
ACSSTW,Cumberland,1926.9,42,19,0.1133,0.5665,1.545,13,3,25,0.05016,75,0.05861,1819,649.8,ASTM B 857,Alcan
ACSSTW,Athabaska,1949.6,42,7,0.1392,0.4176,1.504,7,3,25,0.05069,75,0.05914,1836,361,ASTM B 857,Alcan
ACSSTW,Powder,2153.8,64,19,0.0961,0.4805,1.602,8,4,25,0.0464,75,0.0543,2043,467.5,ASTM B 857,Southwire
ACSSTW,Bluebird,2156,64,19,0.0961,0.4805,1.608,8,4,25,0.0464,75,0.0543,2045,467.5,ASTM B 857,Southwire
ACSSTW,Santee,2627.3,64,19,0.1062,0.531,1.762,8,4,25,0.0396,75,0.0459,2492,571,ASTM B 857,Southwire
